fecha,simbolo,accion,precio,rsi,cambio_pct,precio_max,precio_actual
2025-06-26 00:16:14,SOLUSDT,COMPRA,145.58,32.0,,145.58,145.58
2025-06-26 00:22:40,ADAUSDT,COMPRA,0.5713,29.32,,0.5713,0.5713
2025-06-26 00:22:44,TRXUSDT,COMPRA,0.274,28.15,,0.274,0.274
2025-06-27 15:30:26,ADAUSDT,VENTA,0.5491,49.03,-3.89,0.5723,0.5491
2025-06-27 15:30:28,SOLUSDT,VENTA,141.08,49.16,-3.09,145.63,141.08
2025-06-27 23:54:19,BNBUSDT,COMPRA,644.32,24.87,,644.32,644.32
2025-06-28 00:08:20,SOLUSDT,COMPRA,143.12,29.51,,143.12,143.12
2025-06-28 00:48:16,XRPUSDT,COMPRA,2.1782,27.2,,2.1782,2.1782
2025-06-28 00:54:46,ADAUSDT,COMPRA,0.5587,25.85,,0.5587,0.5587
2025-06-28 14:49:18,ETHUSDT,COMPRA,2433.66,27.03,,2433.66,2433.66
